tweet,label
@gsff you little shithead ,1
@apriasd you are such a little fucker ,1
thank you so much for every thing! ,0
@skdjalsdk you are so damn beautiful ,0
@sdasldkajsd i fucking love you, 0
you are adorable, 0
you are just so amazing, 0
@xcvxcvas fuck off, 1
fuck off little shit @jessa ,1
you gay homophobic shit @asd ,1
amazing dance ,0
you are lovely ,0
@xcvkae you are lovely ,0
@xcvxcv you shitty bastard ,1
@askldjadie you die bitch ,1
you are one smart little kid ,0
Drunk texts are only fun if you are the one sending them,0
This homeless guy just asked me if I was okay,0
Love thy neighbor. But do not get caught,0
I am excited for the Supreme Court to finally let us know if gay people are human beings. ,0
I just want the mirrors fogged up so I cannot see my naked body ,0
Who wants to join me in quest to warn teenagers about the harms of plucking your eyebrows too thin? ,0
I have a life besides Twitter,0
@asda you little freak bitch,1
@asdasd you freak,1
@chaskdja shut up you homo,1
@asd @asdasd you assholes,1
Like this one time that I take a walk into the woods but then realize there was no wifi and I began to panic,0
@asjkdasdjas you need to stop panicking,0
I rarely eat kale chips but when I do -I eat them condescendingly and self righteously,0
When a relationship becomes too much work can you outsource the work to China? ,0
are you implying i am gay? @asdasd, 0
Every mirror is a vanity mirror. ,0
Made a sex robot out of the Xbox and now I am at the free clinic getting this red ring of death looked at,0
@asjdasd you so dumb haha, 1
@ppoqeiwqew you little biatch stay away from my boyfriend you slut, 1
you little whore @reasd, 1
@poasdiasd you cumdump trash,1
@asdkaw well you piece of shit,1
well you actually got me right there,0
My mouth smells like a cave someone shoved a bunch of dead animals into because that is what it is,0
Being a Miami Heat fan is like high fiving Starbucks employees while the locally owned coffee shop across the street boards up its doors ,0
Subway must have introduced a new Genius feature because they just suggested I might like a drink with my sandwich. I do. Nailed it ,0
Hi my name is Richard. I am a husband and it has been 3 months since my last decision.,0
@uqwieuqowe you motherfucker!! dumb stupid bitch!,1
Those leaf blower guys must be constantly looking for blow jobs. ,0
That chinese tattoo on your neck must be the symbol for unemployment. ,0
Ever find yourself masturbating and realize that you have already watched this episode of Trading Spaces?,0
This fly I just killed in my apartment is more talented than every celebrity that tweets on this fucking site.,0
Why does my Pirates of the Caribbean DVD have a piracy warning? I think that pretty much goes without saying. ,0
Lets hold off calling dolphins the smartest animal until they stop getting caught in nets.,0
Dang girl are you Die Hard on TBS because it looks like all the good parts are missing.,0
@oapsdias you douchebag shit stop fucking up,1
@polly where the fucking hell are you, 1
@hahah you fucking stupid ,1
eligible for shitty heads,0
amazingly shitty person @jasd,1
stupid people like you are douches douchebags @axcvd,1
the cats out of the bag now...  now the cats in the bag but you can still see its tail. . now the cats rolling around in some sand and dirt ,0
Does anyone want to come over and stare at our phones? ,0
I have a spoon devoted solely to peanut butter so things are not really looking up,0
Just to confuse the cops let us steal the sign pole and leave the street sign. ,0
I wish your vagina had a "clear history" button. ,0
Using my good looks and charm i will gain the trust of an orangutan to have it become my personal kush consultant and legal guardian. ,0
My life would be a lot easier if when shopping online there was a "Sort by least ugly" option. ,0
If only mosquitoes sucked fat instead of blood,0
Just used shampoo so fortifying that a giant brick wall manifested around me in the shower and I guess this is my home now,0
How do you know you are allergic to cats if you have never even tasted one?,0
I will always hate the restaurant somebody else picked. ,0
The stock market is astrology for people who think they are too good for astrology. ,0
Fun Fact: Cats call their pussies "people" ,0
Sorry I got us kicked out of your niece's dance recital for blowing my airhorn too much ,0
@zxmc you fucktard,1
@jaseas how stupid can you be you little cock shit,1
@xmznc funny how you are so super fucking ugly,1
@asdw you faggot come out of the closet already,1
@osuw yeah shut up you freak,1
@oasd ohh you lesbo shit,1
@awoc twat,1
@aprillbeee you skinny slut,1
@fatsss fatso bitch little amy fucker,1
@vncx it is so amazing how fucked up you are,1
@little shitty shits,1
@naseqw motherfuckers like you need to die,1
@zxcz you one of the reason why death penalty should be considered as lawful you rapist niggah stupid,1
@asdas you deserve to die you fucking slut,1
@asdqcz you so dumb fuck off,1
@aszxczxc gaylord,1
@asdxzcpo fuckwit twat you are ,1
@cpoi fuck you ,1
@lkpo you twat,1
@zxcnz you stupid dumb idiot,1
@poiasd you are the schools slut,1
@zxczx everyone wants to fuck you you bitch,1
@poizxc fooker hooker like you,1
@cxvmno fucking piece of meat,1
@npoka you motherfucker should just die and kill yourself,1
@qwoeiq jerks like you haha stupid idiot,1
@liasd you shithead cannot even get it right,1
@poizxc as if you little stupidhead dickheads,1
