tweet,label
@gsff you little shithead ,1
@apriasd you are such a little fucker ,1
thank you so much for every thing ,0
@skdjalsdk you are so damn beautiful ,0
@sdasldkajsd i fucking love you, 0
you are adorable, 0
you are just so amazing, 0
@xcvxcvas fuck off, 1
fuck off little shit @jessa ,1
you gay homophobic shit @asd ,1
amazing dance ,0
you are lovely ,0
@xcvkae you are lovely ,0
@xcvxcv you shitty bastard ,1
@askldjadie you die bitch ,1
you are one smart little kid ,0
drunk texts are only fun if you are the one sending them,0
this homeless guy just asked me if i was okay,0
love thy neighbor but do not get caught,0
i am excited for the supreme court to finally let us know if gay people are human beings ,0
i just want the mirrors fogged up so i cannot see my naked body ,0
who wants to join me in quest to warn teenagers about the harms of plucking your eyebrows too thin ,0
i have a life besides twitter,0
@asda you little freak bitch,1
@asdasd you freak,1
@chaskdja shut up you homo,1
@asd @asdasd you assholes,1
like this one time that i take a walk into the woods but then realize there was no wifi and i began to panic,0
@asjkdasdjas you need to stop panicking,0
i rarely eat kale chips but when i do i eat them condescendingly and self righteously,0
when a relationship becomes too much work can you outsource the work to china ,0
are you implying i am gay @asdasd, 0
every mirror is a vanity mirror ,0
made a sex robot out of the xbox and now i am at the free clinic getting this red ring of death looked at,0
@asjdasd you so dumb haha, 1
@ppoqeiwqew you little biatch stay away from my boyfriend you slut, 1
you little whore @reasd, 1
@poasdiasd you cumdump trash,1
@asdkaw well you piece of shit,1
well you actually got me right there,0
my mouth smells like a cave someone shoved a bunch of dead animals into because that is what it is,0
being a miami heat fan is like high fiving starbucks employees while the locally owned coffee shop across the street boards up its doors ,0
subway must have introduced a new genius feature because they just suggested i might like a drink with my sandwich i do nailed it ,0
hi my name is richard i am a husband and it has been  months since my last decision,0
@uqwieuqowe you motherfucker dumb stupid bitch,1
those leaf blower guys must be constantly looking for blow jobs ,0
that chinese tattoo on your neck must be the symbol for unemployment ,0
ever find yourself masturbating and realize that you have already watched this episode of trading spaces,0
this fly i just killed in my apartment is more talented than every celebrity that tweets on this fucking site,0
why does my pirates of the caribbean dvd have a piracy warning i think that pretty much goes without saying ,0
lets hold off calling dolphins the smartest animal until they stop getting caught in nets,0
dang girl are you die hard on tbs because it looks like all the good parts are missing,0
@oapsdias you douchebag shit stop fucking up,1
@polly where the fucking hell are you, 1
@hahah you fucking stupid ,1
eligible for shitty heads,0
amazingly shitty person @jasd,1
stupid people like you are douches douchebags @axcvd,1
the cats out of the bag now  now the cats in the bag but you can still see its tail  now the cats rolling around in some sand and dirt ,0
does anyone want to come over and stare at our phones ,0
i have a spoon devoted solely to peanut butter so things are not really looking up,0
just to confuse the cops let us steal the sign pole and leave the street sign ,0
i wish your vagina had a clear history button ,0
using my good looks and charm i will gain the trust of an orangutan to have it become my personal kush consultant and legal guardian ,0
my life would be a lot easier if when shopping online there was a sort by least ugly option ,0
if only mosquitoes sucked fat instead of blood,0
just used shampoo so fortifying that a giant brick wall manifested around me in the shower and i guess this is my home now,0
how do you know you are allergic to cats if you have never even tasted one,0
i will always hate the restaurant somebody else picked ,0
the stock market is astrology for people who think they are too good for astrology ,0
fun fact cats call their pussies people ,0
sorry i got us kicked out of your nieces dance recital for blowing my airhorn too much ,0
@zxmc you fucktard,1
@jaseas how stupid can you be you little cock shit,1
@xmznc funny how you are so super fucking ugly,1
@asdw you faggot come out of the closet already,1
@osuw yeah shut up you freak,1
@oasd ohh you lesbo shit,1
@awoc twat,1
@aprillbeee you skinny slut,1
@fatsss fatso bitch little amy fucker,1
@vncx it is so amazing how fucked up you are,1
@little shitty shits,1
@naseqw motherfuckers like you need to die,1
@zxcz you one of the reason why death penalty should be considered as lawful you rapist niggah stupid,1
@asdas you deserve to die you fucking slut,1
@asdqcz you so dumb fuck off,1
@aszxczxc gaylord,1
@asdxzcpo fuckwit twat you are ,1
@cpoi fuck you ,1
@lkpo you twat,1
@zxcnz you stupid dumb idiot,1
@poiasd you are the schools slut,1
@zxczx everyone wants to fuck you you bitch,1
@poizxc fooker hooker like you,1
@cxvmno fucking piece of meat,1
@npoka you motherfucker should just die and kill yourself,1
@qwoeiq jerks like you haha stupid idiot,1
@liasd you shithead cannot even get it right,1
@poizxc as if you little stupidhead dickheads,1
